"filename", "language", "Python", "comment", "blank", "total"
"d:\Projects\Agentic-Salesman\apps\backend\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\main.py", "Python", 5, 0, 2, 7
"d:\Projects\Agentic-Salesman\apps\backend\src\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\agents\MainAgent.py", "Python", 16, 0, 10, 26
"d:\Projects\Agentic-Salesman\apps\backend\src\agents\Prompts\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\agents\Prompts\prompt.py", "Python", 286, 36, 7, 329
"d:\Projects\Agentic-Salesman\apps\backend\src\agents\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\db\DatabaseOperations.py", "Python", 61, 2, 12, 75
"d:\Projects\Agentic-Salesman\apps\backend\src\db\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\graphs\MainAgentGraph.py", "Python", 7, 0, 1, 8
"d:\Projects\Agentic-Salesman\apps\backend\src\graphs\MainAgentState.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\graphs\PreProcessingAgentState.py", "Python", 10, 0, 0, 10
"d:\Projects\Agentic-Salesman\apps\backend\src\graphs\PreProcessingGraph.py", "Python", 55, 4, 16, 75
"d:\Projects\Agentic-Salesman\apps\backend\src\graphs\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\models\AudioInput.py", "Python", 6, 0, 2, 8
"d:\Projects\Agentic-Salesman\apps\backend\src\models\DM.py", "Python", 11, 0, 1, 12
"d:\Projects\Agentic-Salesman\apps\backend\src\models\ImageInput.py", "Python", 6, 0, 1, 7
"d:\Projects\Agentic-Salesman\apps\backend\src\models\Input.py", "Python", 17, 1, 2, 20
"d:\Projects\Agentic-Salesman\apps\backend\src\models\Lead.py", "Python", 16, 0, 2, 18
"d:\Projects\Agentic-Salesman\apps\backend\src\models\Request.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\models\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\pre_processing\InputProcessing.py", "Python", 71, 5, 19, 95
"d:\Projects\Agentic-Salesman\apps\backend\src\pre_processing\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\services\ProcessMessage.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\services\WaitAndReply.py", "Python", 8, 0, 5, 13
"d:\Projects\Agentic-Salesman\apps\backend\src\telegram_bot\TelegramBot.py", "Python", 111, 4, 27, 142
"d:\Projects\Agentic-Salesman\apps\backend\src\telegram_bot\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\tools\WatchTool.py", "Python", 1, 0, 0, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\tools\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\tests\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\tests\agents_testing.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\front\UI.py", "Python", 0, 1, 0, 1
"d:\Projects\Agentic-Salesman\apps\front\__init__.py", "Python", 0, 0, 1, 1
"Total", "-", 687, 53, 123, 863
